ticker,sector,phase,phase_ret
ACB,11,1_COVID_Crash,-14.759036144578308
ACB,11,2_COVID_Recovery,173.47972972972974
ACB,11,3_TPDN_Crisis,-30.669144981412643
ACB,11,4_Rebound,80.418410041841
ACB,11,5_YTD_2025,12.669471715755032
BID,11,1_COVID_Crash,-32.61526832955405
BID,11,2_COVID_Recovery,43.67325146823278
BID,11,3_TPDN_Crisis,-10.68927386656837
BID,11,4_Rebound,43.397683397683416
BID,11,5_YTD_2025,9.71413446267868
CTG,11,1_COVID_Crash,-14.923857868020296
CTG,11,2_COVID_Recovery,132.51396648044692
CTG,11,3_TPDN_Crisis,-32.6769807782466
CTG,11,4_Rebound,70.43363994743758
CTG,11,5_YTD_2025,35.755258126195045
DGC,18,1_COVID_Crash,-12.968299711815568
DGC,18,2_COVID_Recovery,937.7703826955076
DGC,18,3_TPDN_Crisis,-27.49074521165299
DGC,18,4_Rebound,131.88044831880447
DGC,18,5_YTD_2025,-50.143215180809165
FPT,6,1_COVID_Crash,-24.03210576015109
FPT,6,2_COVID_Recovery,183.8244137101624
FPT,6,3_TPDN_Crisis,-13.632532659081331
FPT,6,4_Rebound,201.9485038274182
FPT,6,5_YTD_2025,-39.03190997379375
GAS,22,1_COVID_Crash,-40.59945504087194
GAS,22,2_COVID_Recovery,73.24396782841826
GAS,22,3_TPDN_Crisis,12.405026300409139
GAS,22,4_Rebound,-20.53759445063793
GAS,22,5_YTD_2025,24.55183164458301
GVR,18,1_COVID_Crash,-23.084677419354836
GVR,18,2_COVID_Recovery,342.5096030729834
GVR,18,3_TPDN_Crisis,-72.70400909866363
GVR,18,4_Rebound,191.33398247322302
GVR,18,5_YTD_2025,10.409045560359175
HDB,11,1_COVID_Crash,-31.76043557168784
HDB,11,2_COVID_Recovery,219.28934010152284
HDB,11,3_TPDN_Crisis,-43.69085173501578
HDB,11,4_Rebound,158.6842105263158
HDB,11,5_YTD_2025,36.175710594315234
HPG,21,1_COVID_Crash,-28.778718258766624
HPG,21,2_COVID_Recovery,333.442088091354
HPG,21,3_TPDN_Crisis,-64.66193500186776
HPG,21,4_Rebound,119.70297029702972
HPG,21,5_YTD_2025,24.555160142348754
LPB,11,1_COVID_Crash,-11.721611721611714
LPB,11,2_COVID_Recovery,329.76190476190476
LPB,11,3_TPDN_Crisis,-52.79560036663611
LPB,11,4_Rebound,428.31215970961887
LPB,11,5_YTD_2025,63.17416695293714
MBB,11,1_COVID_Crash,-30.145867098865487
MBB,11,2_COVID_Recovery,186.37362637362637
MBB,11,3_TPDN_Crisis,-41.6920731707317
MBB,11,4_Rebound,100.24479804161568
MBB,11,5_YTD_2025,61.99756394640681
MSN,19,1_COVID_Crash,-13.858813339107833
MSN,19,2_COVID_Recovery,255.7566616390146
MSN,19,3_TPDN_Crisis,-36.45603809794583
MSN,19,4_Rebound,-22.992299229922995
MSN,19,5_YTD_2025,9.745762711864426
MWG,7,1_COVID_Crash,-41.19718309859155
MWG,7,2_COVID_Recovery,184.15110725141116
MWG,7,3_TPDN_Crisis,-44.74080771549126
MWG,7,4_Rebound,53.43199795866293
MWG,7,5_YTD_2025,37.09407432206226
PLX,1,1_COVID_Crash,-33.620689655172406
PLX,1,2_COVID_Recovery,47.3372781065089
PLX,1,3_TPDN_Crisis,-54.02486244141023
PLX,1,4_Rebound,52.5010508617066
PLX,1,5_YTD_2025,9.726361419669471
SAB,19,1_COVID_Crash,-47.46947967286951
SAB,19,2_COVID_Recovery,28.17115551694178
SAB,19,3_TPDN_Crisis,21.39830508474576
SAB,19,4_Rebound,-30.656327887011912
SAB,19,5_YTD_2025,-9.507673908710391
SHB,11,1_COVID_Crash,115.66820276497695
SHB,11,2_COVID_Recovery,138.39999999999998
SHB,11,3_TPDN_Crisis,-60.59850374064837
SHB,11,4_Rebound,53.25443786982247
SHB,11,5_YTD_2025,96.91119691119694
SSB,11,2_COVID_Recovery,161.58475426278832
SSB,11,3_TPDN_Crisis,-17.599693251533743
SSB,11,4_Rebound,-23.34096109839817
SSB,11,5_YTD_2025,1.4925373134328401
SSI,5,1_COVID_Crash,-32.07236842105263
SSI,5,2_COVID_Recovery,609.7505668934241
SSI,5,3_TPDN_Crisis,-70.99594130502653
SSI,5,4_Rebound,133.46774193548384
SSI,5,5_YTD_2025,27.438231469440822
STB,11,1_COVID_Crash,-13.725490196078416
STB,11,2_COVID_Recovery,245.77387486278818
STB,11,3_TPDN_Crisis,-52.95950155763241
STB,11,4_Rebound,128.48297213622294
STB,11,5_YTD_2025,78.37837837837837
TCB,11,1_COVID_Crash,-32.29537366548042
TCB,11,2_COVID_Recovery,201.27551020408166
TCB,11,3_TPDN_Crisis,-59.31780366056573
TCB,11,4_Rebound,129.98084291187743
TCB,11,5_YTD_2025,29.426644182124797
TPB,11,1_COVID_Crash,3.14569536423841
TPB,11,2_COVID_Recovery,208.85668276972623
TPB,11,3_TPDN_Crisis,-53.43014521782674
TPB,11,4_Rebound,51.84804928131415
TPB,11,5_YTD_2025,12.168592794017673
VCB,11,1_COVID_Crash,-36.136595310907246
VCB,11,2_COVID_Recovery,65.47219111608808
VCB,11,3_TPDN_Crisis,-5.063006300630068
VCB,11,4_Rebound,43.37121212121211
VCB,11,5_YTD_2025,-1.3599868916926106
VHM,3,1_COVID_Crash,-34.856230031948876
VHM,3,2_COVID_Recovery,82.8132170720514
VHM,3,3_TPDN_Crisis,-47.51481436691256
VHM,3,4_Rebound,-10.913140311804003
VHM,3,5_YTD_2025,207.50000000000003
VIB,11,1_COVID_Crash,-22.87104622871047
VIB,11,2_COVID_Recovery,450.2958579881658
VIB,11,3_TPDN_Crisis,-51.867662753468515
VIB,11,4_Rebound,74.24083769633508
VIB,11,5_YTD_2025,4.2668269230769384
VIC,3,1_COVID_Crash,-37.82778864970646
VIC,3,2_COVID_Recovery,39.85294117647058
VIC,3,3_TPDN_Crisis,-43.56435643564357
VIC,3,4_Rebound,-32.88079470198676
VIC,3,5_YTD_2025,656.7834237789838
VJC,23,1_COVID_Crash,-34.797297297297305
VJC,23,2_COVID_Recovery,32.13182286302783
VJC,23,3_TPDN_Crisis,-19.206349206349206
VJC,23,4_Rebound,-1.864573110893042
VJC,23,5_YTD_2025,69.66966966966966
VNM,19,1_COVID_Crash,-26.976873009278492
VNM,19,2_COVID_Recovery,20.500532481363145
VNM,19,3_TPDN_Crisis,-6.634375458681929
VNM,19,4_Rebound,-4.8748781280468005
VNM,19,5_YTD_2025,7.449364915894274
VPB,11,1_COVID_Crash,-5.223880597014929
VPB,11,2_COVID_Recovery,217.8517397881997
VPB,11,3_TPDN_Crisis,-38.98865784499055
VPB,11,4_Rebound,36.82284040995609
VPB,11,5_YTD_2025,48.068669527896986
VPL,25,5_YTD_2025,-0.5847953216374324
VRE,3,1_COVID_Crash,-48.47161572052402
VRE,3,2_COVID_Recovery,59.25925925925928
VRE,3,3_TPDN_Crisis,-19.90369181380417
VRE,3,4_Rebound,-35.40489642184558
VRE,3,5_YTD_2025,59.53757225433527
